Epoch 81. Train Loss: 0.799946, Train Acc: 0.759071, Valid Loss: 1.100962, Valid Acc: 0.679490, Time 00:01:07
Epoch 82. Train Loss: 0.811598, Train Acc: 0.756574, Valid Loss: 1.160146, Valid Acc: 0.644581, Time 00:01:07
Epoch 83. Train Loss: 0.829867, Train Acc: 0.749880, Valid Loss: 0.910013, Valid Acc: 0.730914, Time 00:01:06
Epoch 84. Train Loss: 0.820317, Train Acc: 0.750539, Valid Loss: 1.002080, Valid Acc: 0.677611, Time 00:01:06
Epoch 85. Train Loss: 0.814481, Train Acc: 0.755135, Valid Loss: 0.800942, Valid Acc: 0.748912, Time 00:01:06
Epoch 86. Train Loss: 0.809351, Train Acc: 0.756254, Valid Loss: 0.958305, Valid Acc: 0.707377, Time 00:01:06
Epoch 87. Train Loss: 0.802122, Train Acc: 0.759251, Valid Loss: 0.805149, Valid Acc: 0.742781, Time 00:01:06
Epoch 88. Train Loss: 0.810276, Train Acc: 0.757453, Valid Loss: 1.063769, Valid Acc: 0.672864, Time 00:01:06
Epoch 89. Train Loss: 0.808118, Train Acc: 0.757273, Valid Loss: 0.956715, Valid Acc: 0.714695, Time 00:01:06
Epoch 90. Train Loss: 0.805018, Train Acc: 0.757113, Valid Loss: 0.939134, Valid Acc: 0.725574, Time 00:01:06
Epoch 91. Train Loss: 0.797709, Train Acc: 0.759471, Valid Loss: 1.182482, Valid Acc: 0.638054, Time 00:01:06
Epoch 92. Train Loss: 0.808960, Train Acc: 0.758532, Valid Loss: 1.306874, Valid Acc: 0.620945, Time 00:01:06
Epoch 93. Train Loss: 0.823678, Train Acc: 0.754196, Valid Loss: 0.850566, Valid Acc: 0.729233, Time 00:01:06
Epoch 94. Train Loss: 0.815049, Train Acc: 0.756434, Valid Loss: 1.122423, Valid Acc: 0.653778, Time 00:01:06
Epoch 95. Train Loss: 0.814536, Train Acc: 0.755395, Valid Loss: 0.976025, Valid Acc: 0.718157, Time 00:01:06
Epoch 96. Train Loss: 0.799365, Train Acc: 0.758951, Valid Loss: 1.267917, Valid Acc: 0.611551, Time 00:01:06
Epoch 97. Train Loss: 0.812195, Train Acc: 0.756454, Valid Loss: 0.851235, Valid Acc: 0.738627, Time 00:01:06
Epoch 98. Train Loss: 0.818213, Train Acc: 0.754396, Valid Loss: 0.976880, Valid Acc: 0.714003, Time 00:01:06
Epoch 99. Train Loss: 0.798297, Train Acc: 0.758452, Valid Loss: 1.005552, Valid Acc: 0.698378, Time 00:01:06
Epoch 0. Train Loss: 0.487907, Train Acc: 0.849305, Valid Loss: 0.441672, Valid Acc: 0.859771, Time 00:01:02
Epoch 1. Train Loss: 0.401982, Train Acc: 0.873821, Valid Loss: 0.400030, Valid Acc: 0.869561, Time 00:01:06
Epoch 2. Train Loss: 0.361417, Train Acc: 0.885530, Valid Loss: 0.379833, Valid Acc: 0.875989, Time 00:01:06
Epoch 3. Train Loss: 0.336546, Train Acc: 0.893562, Valid Loss: 0.384680, Valid Acc: 0.875494, Time 00:01:06
Epoch 4. Train Loss: 0.311085, Train Acc: 0.899496, Valid Loss: 0.386095, Valid Acc: 0.876978, Time 00:01:06
Epoch 5. Train Loss: 0.298328, Train Acc: 0.904152, Valid Loss: 0.366282, Valid Acc: 0.881922, Time 00:01:06
Epoch 6. Train Loss: 0.285407, Train Acc: 0.908088, Valid Loss: 0.375660, Valid Acc: 0.878956, Time 00:01:06
Epoch 7. Train Loss: 0.277303, Train Acc: 0.910466, Valid Loss: 0.401212, Valid Acc: 0.875989, Time 00:01:06
